,Model,Weeks ahead,Location,RMSE,NRMSE,MAPE
86,BPagano-RtDriven,2,OK,303.5546619291311,0.21347022639179403,403224848.11175233
87,BPagano-RtDriven,2,OR,23.181021269368376,0.2934306489793465,42.637495280894846
88,BPagano-RtDriven,2,PA,44.812994560222656,0.527211700708502,34.70553325185032
89,BPagano-RtDriven,2,RI,2.577770336762162,0.28641892630690685,42050449.10938672
90,BPagano-RtDriven,2,SC,38.1753438800967,0.5453620554299529,163.82504619347594
91,BPagano-RtDriven,2,SD,2.8677505438615443,0.35846881798269303,79.38229961957234
92,BPagano-RtDriven,2,TN,21.77079024539741,0.2340945187677141,63.33741481490664
93,BPagano-RtDriven,2,TX,46.431219089002056,0.3202153040620831,43.25767545694808
94,BPagano-RtDriven,2,US,323.88109892324263,0.1938247150946993,19.463361769492778
95,BPagano-RtDriven,2,UT,5.730689027269995,0.3183716126261108,40.09250519911677
96,BPagano-RtDriven,2,VA,47.85067958575073,0.5629491715970675,40.79144672006913
97,BPagano-RtDriven,2,VT,2.066141771075213,0.34435696184586884,51193442.65426997
98,BPagano-RtDriven,2,WA,23.298631943840515,0.3477407752812016,27.628935102680607
99,BPagano-RtDriven,2,WI,14.4825227868879,0.48275075956293,37.451149630240266
100,BPagano-RtDriven,2,WV,10.400613845520676,0.3059004072211963,89.62988357054242
101,BPagano-RtDriven,2,WY,3.1607978998405395,0.28734526362186724,100421500.27777903
102,BPagano-RtDriven,3,AK,8.675190326442412,0.36146626360176715,368745949.10060716
103,BPagano-RtDriven,3,AL,33.55626130843542,0.3195834410327183,137.46161808564116
104,BPagano-RtDriven,3,AR,16.76067965507366,0.41901699137684145,62.01388604831366
105,BPagano-RtDriven,3,AZ,10.213102315163596,0.4255459297984831,14.413320515059869
106,BPagano-RtDriven,3,CA,68.3776251108504,0.32406457398507305,28.865608636193667
107,BPagano-RtDriven,3,CO,35.33761239104872,0.7211757630826269,207.12757590394108
108,BPagano-RtDriven,3,CT,16.754194227118173,0.26178428479872146,68.68887949517803
109,BPagano-RtDriven,3,DC,2.6766351264227253,0.33457939080284066,120.28744444444446
110,BPagano-RtDriven,3,DE,9.031731600307884,0.33450857778918086,194.2331434065934
